refcode,chemical_name,color,doi,authors,journal,first_page,volume,date,simplified_color
JOGHEU,"catena-[(μ2-4,4'-bipyridine)-(μ2-formato)-formato-nickel monohydrate]",,,"Xi-Hui Liu, Xin Zhuo, Chao Liu, Tai-Zhu Liu",Wuji Huaxue Xuebao,1128,30,2014-05-19,
JOKYAJ10,"catena-(octakis(μ2-Cyano)-bis(1,2-diaminopropane)-di-cadmium(ii)-di-nickel(ii) tetrachloroethane clathrate)",,10.1039/dt9930001875,"Ki-Min Park, T.Iwamoto","Journal of the Chemical Society, Dalton Transactions",1875,,1993-12-13,
JOKYOX10,"catena-(octakis(μ2-Cyano)-bis(1,2-diaminopropane)-di-cadmium(ii)-di-nickel(ii) propan-2-ol clathrate)",,10.1039/dt9930001875,"Ki-Min Park, T.Iwamoto","Journal of the Chemical Society, Dalton Transactions",1875,,1993-12-13,
JORLEJ,"catena-[(μ4-N,N,N',N'-tetrakis(4-(pyridin-4-yl)phenyl)biphenyl-4,4'-diamine)-bis(μ3-4,4'-oxydibenzoato)-di-cadmium N,N-dimethylacetamide unknown solvate]",,10.1021/cg500269h,"Ling Qin, Ze-Min Ju, Zhong-Jie Wang, Fan-Dian Meng, He-Gen Zheng, Jin-Xi Chen",Crystal Growth and Design,2742,14,2014-10-21,
JORYUM,"catena-(pentakis(μ2-3,3',5,5'-Tetramethyl-1H,1'H-4,4'-bipyrazole)-bis(μ2-pimelato)-bis(3,3',5,5'-tetramethyl-1H,1'H-4,4'-bipyrazole)-tetra-silver dodecahydrate)",,10.1021/cg401805x,"Lu-Lu Han, Xi-Ying Zhang, Jiang-Shan Chen, Zhong-Hui Li, Dao-Feng Sun, Xing-Po Wang, Di Sun",Crystal Growth and Design,2230,14,2014-10-21,
JOXPIX,"catena-((μ5-Pyrazine-2,3-dicarboxylato)-bis(μ4-pyrazine-2,3-dicarboxylato-N,N',O,O',O'')-(μ4-pyrazine-2,3-dicarboxylato-N,N',O,O,O')-bis(μ4-pyrazine-2,3-dicarboxylato-N,N',O,O,O',O'')-nona-aqua-di-gadolinium-hexa-silver octahydrate)",colorless,10.1021/cg501644z,"Fengming Zhang, Xiaoyan Zou, Pengfei Yan, Jingwen Sun, Guangfeng Hou, Guangming Li",Crystal Growth and Design,1249,15,2015-03-13,colorless
JOYKUF,"catena-[(μ-4,4'-dioxidobiphenyl-3,3'-dicarboxylato)-bis(methyl(2-(methylammonio)ethyl)carbamate)-di-manganese]",grey,10.1038/nature14327,"T.M.McDonald, J.A.Mason, Xueqian Kong, E.D.Bloch, D.Gygi, A.Dani, V.Crocella, F.Giordanino, S.O.Odoh, W.S.Drisdell, B.Vlaisavljevich, A.L.Dzubak, R.Poloni, S.K.Schnell, N.Planas, Kyuho Lee, T.Pascal, L.F.Wan, D.Prendergast, J.B.Neaton, B.Smit, J.B.Kortright, L.Gagliardi, S.Bordiga, J.A.Reimer, J.R.Long",Nature (London),303,519,2015-03-16,grey
JUGQIN,"catena-[(μ-5,5'-(ethane-1,2-diylbis(oxy))diisophthalato)-tetrakis(N,N-dimethylformamide)-bis(nitrato)-di-europium N,N-dimethylformamide solvate]",colorless,10.1039/C5CC01181G,"Yin-Ling Hou, Hang Xu, Rui-Rui Cheng, Bin Zhao",Chemical Communications,6769,51,2015-03-19,colorless
JUMCUR,catena-((μ4-Terephthalato)-(μ2-oxo)-vanadium thiomorpholine solvate),,10.1016/j.micromeso.2015.07.038,"Xiqu Wang, A.J.Jacobson",Microporous and Mesoporous Materials,112,219,2015-08-13,
JUNBOL,"catena-[hemikis(3,3'-Butane-1,4-diylbis(2-methyl-1H-imidazol-3-ium)) (μ6-5-(4-carboxylatophenoxy)isophthalato)-(μ4-5-(4-carboxyphenoxy)isophthalato)-di-cadmium hemihydrate]",colorless,10.1021/acs.cgd.5b00799,"Xiaoju Li, Xiaofei Sun, Xinxiong Li, Zhihua Fu, Yanqing Su, Gang Xu",Crystal Growth and Design,4543,15,2015-08-13,colorless
JUTCUW,catena-(Chloroform bis(μ2-cyano)-cadmium clathrate),,10.1021/ja00052a073,"B.F.Abrahams, M.J.Hardie, B.F.Hoskins, R.Robson, G.A.Williams",Journal of the American Chemical Society,10641,114,1993-09-15,
JUVWUU,"catena-[(μ-naphthalene-1,4-dicarboxylato)-(N,N-dimethylacetamide)-manganese]",colorless,10.1080/15533174.2014.988232,"Ying-Bing Lu, Shuang Jin, Fang-Mei Jian, Yong-Rong Xie, Guo-Tian Luo","Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",323,46,2015-12-09,colorless
JUYBEM,"catena-[bis(dimethylammonium) bis(μ-1,1':4',1''-terphenyl-3,3'',5,5''-tetracarboxylato)-tri-cadmium N,N-dimethylformamide solvate]",colorless,10.1016/j.jssc.2015.12.005,"Lei Lu, Bao Mu, Chang-Xia Li, Ru-Dan Huang",Journal of Solid State Chemistry,93,234,2015-12-10,colorless
KABNIL,"catena-(1,4-Butanediammonium bis(μ6-1,2,4,5-benzenetetracarboxylato)-tetraaqua-tri-copper tetrahydrate)",green,10.1002/zaac.200300077,"R.Koferstein, C.Robl",Zeitschrift fur Anorganische und Allgemeine Chemie,1374,629,2003-11-18,green
KAFTUI,"catena-(bis(μ3-4,4'-(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)dibenzoato)-bis(μ3-oxo)-(μ2-4,4'-(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)dibenzoato)-bis(N,N-dimethylformamide)-tetra-zinc ethanol solvate)",colorless,10.1021/cg9014948,"C.A.Fernandez, P.K.Thallpally, R.K.Motkuri, S.K.Nune, J.C.Sumrak, Jian Tian, Jun Liu",Crystal Growth and Design,1037,10,2011-03-04,colorless
KAHKUB02,catena-[bis(Imidazolium) hexakis(μ2-cyano)-iron(iii)-potassium(i)],,10.1002/anie.201001208,"Wen Zhang, Ying Cai, Ren-Gen Xiong, H.Yoshikawa, K.Awaga","Angewandte Chemie, International Edition",6608,49,2010-12-14,
KAHMOW,"catena-(bis(μ4-2,2-bis(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropane)-zinc heptane solvate)",colorless,10.1039/b415960h,"A.Monge, N.Snejko, E.Gutierrez-Puebla, M.Medina, C.Cascales, C.Ruiz-Valero, M.Iglesias, B.Gomez-Lor",Chemical Communications,1291,,2005-07-14,colorless
KAJZIH,"catena-[(μ-benzene-1,3,5-tricarboxylato)-di-copper dihydrate]",dark green,10.1039/C5RA23754H,"A.Ahmed, C.M.Robertson, A.Steiner, T.Whittles, A.Ho, V.Dhanak, Haifei Zhang",RSC Advances,8902,6,2016-01-21,green
KANDAG,"catena-(bis(μ4-Terephthalato)-(μ2-2,3-difluoro-1,4-bis(4-pyridyl)benzene-N,N')-di-zinc dimethylformamide solvate)",colorless,10.1021/ja201484s,"Joobeom Seo, C.Bonneau, R.Matsuda, M.Takata, S.Kitagawa",Journal of the American Chemical Society,9005,133,2012-03-05,colorless
KARTAA,"catena-(nonakis(Dimethylammonium) bis(μ3-sulfato-O,O,O',O'')-bis(μ3-sulfato-O,O',O'')-bis(μ3-sulfato-O,O',O'',O''')-bis(μ2-sulfato-O,O,O',O'')-bis(μ2-sulfato-O,O',O'',O''')-bis(μ2-sulfato-O,O')-penta-samarium)",light yellow,10.1039/c1ra00749a,"Deng Zhang, Lei Zheng, Xinmin Qiu, Yan Xu, Jie Fu, Dunru Zhu",RSC Advances,217,2,2012-03-13,yellow
KASPOL,"catena-((μ4-Dimethyl benzene-1,4-diphosphonato)-copper dihydrate)",blue green,10.1021/ja207606u,"S.S.Iremonger, Junmei Liang, R.Vaidyanathan, I.Martens, G.K.H.Shimizu, T.D.Daff, M.Z.Aghaji, S.Yeganegi, T.K.Woo",Journal of the American Chemical Society,20048,133,2012-03-13,blue green
KASTIK,"catena-[(μ-5,10,15,20-tetrakis(4-(1H-imidazol-1-yl)phenyl)porphyrinato)-bis(μ-biphenyl-4,4'-dicarboxylato)-tri-cadmium unknown solvate]",purple,10.1021/acs.inorgchem.6b03174,"Wei Jiang, Jin Yang, Ying-Ying Liu, Shu-Yan Song, Jian-Fang Ma",Inorganic Chemistry,3036,56,2017-03-09,purple
KAVGAQ,"catena-(bis(μ3-Imidazole-4,5-dicarboxylato)-tris(μ2-4,4'-bipyridine)-tri-cobalt(ii) dimethylformamide solvate hexahydrate)",orange,10.1021/cg0501128,"Yu-Ling Wang, Da-Qiang Yuan, Wen-Hua Bi, Xing Li, Xiao-Ju Li, Feng Li, Rong Cao",Crystal Growth and Design,1849,5,2006-02-03,orange
KAVJEX01,"catena-[tris(μ3-3-Amino-4-carboxybenzoato-O,O,O',O'',O''')-tris(μ3-2-aminobenzene-1,4-dicarboxylato-O,O,O',O'',O''')-tri-neodymium(iii) tetracosahydrate]",red,10.1016/j.ica.2011.01.001,"Yun Luo, G.Calvez, S.Freslon, C.Daiguebonne, T.Roisnel, O.Guillou",Inorganica Chimica Acta,170,368,2011-05-25,red
KAVXAI,"catena-(bis(μ4-2,3,5,6-tetramethylterephthalato)-(μ2-4,4'-bipyridine)-di-cobalt(ii) dimethylformamide solvate dihydrate)",,10.1039/c0ce00047g,"Haiyan He, Jianmin Dou, Dacheng Li, Huiqing Ma, Daofeng Sun",CrystEngComm,1509,13,2012-03-13,
KAXFUM,catena-(bis(μ3-6-Hydroxypyrimidin-4(3H)-one)-(μ2-aqua)-aqua-barium monohydrate),colorless,10.1039/c2dt12353c,"Zhao-Peng Deng, Wei Kang, Zhi-Biao Zhu, Li-Hua Huo, Hui Zhao, Shan Gao",Dalton Transactions,8354,41,2012-09-12,colorless
KAXZUG,"catena-[(μ3-1,3,5-tris-(triazol-1-ylmethyl)-2,4,6-trimethylbenzene)-(μ3-benzene-1,2,4-tricarboxylato)-(μ2-1,3,5-tris(triazol-1-ylmethyl)-2,4,6-trimethylbenzene)-chloro-di-cadmium trihydrate]",colorless,10.1021/cg3000729,"Xiajuan Wang, Yanhua Liu, Chunying Xu, Qianqian Guo, Hongwei Hou, Yaoting Fan",Crystal Growth and Design,2435,12,2012-09-26,colorless
KECRAL,catena-(hexakis(μ2-Cyano)-diaqua-tri-cadmium butanol clathrate),,10.1039/c39900000060,"B.F.Abrahams, B.F.Hoskins, R.Robson",Chemical Communications,60,,1990-06-28,
KEDJAG,catena-(tetrakis(Triethylammonium) hexakis(μ2-oxalato)-tetra-copper),blue,10.1039/c2dt30818e,"Bin Zhang, Yan Zhang, Daoben Zhu",Dalton Transactions,8509,41,2012-09-12,blue
KEDQAN,"catena-((μ6-tris(4'-Carboxylatobiphenyl-4-yl)amine)-(μ2-hydroxo)-di-zinc(ii) N,N-dimethylformamide solvate)",yellow,10.1021/ic202624e,"Dabin Shi, Yanwei Ren, Huanfeng Jiang, Bowei Cai, Jiaxian Lu",Inorganic Chemistry,6498,51,2012-09-25,yellow
KEFBEE,"catena-((μ8-1,1'-(Ethyne-1,2-diyl)benzene-3,3',5,5'-tetracarboxylato)-diaqua-di-zinc dimethylformamide solvate hydrate)",colorless,10.1021/ic202085j,"Yun-Xia Hu, Hai-Bo Ma, Bo Zheng, Wen-Wei Zhang, Shengchang Xiang, Lu Zhai, Li-Feng Wang, Banglin Chen, Xiao-Ming Ren, Junfeng Bai",Inorganic Chemistry,7066,51,2012-09-26,colorless
KEFBOO,"catena-((μ8-1,1'-(Ethyne-1,2-diyl)benzene-3,3',5,5'-tetracarboxylato)-diaqua-di-zinc dimethylformamide dimethylsulfoxide solvate hydrate)",colorless,10.1021/ic202085j,"Yun-Xia Hu, Hai-Bo Ma, Bo Zheng, Wen-Wei Zhang, Shengchang Xiang, Lu Zhai, Li-Feng Wang, Banglin Chen, Xiao-Ming Ren, Junfeng Bai",Inorganic Chemistry,7066,51,2012-09-26,colorless
KEFFEI,"catena-(Formamidinium tetrakis(μ2-formato-O,O')-dysprosium)",colorless,10.1021/ic300854b,"A.Rossin, G.Giambastiani, M.Peruzzini, R.Sessoli",Inorganic Chemistry,6962,51,2012-09-26,colorless
KEHFUA,"catena-[(μ5-3,5,7-tris(1,2,4-Triazol-4-yl)-1-azaadamantane)-(μ4-3,5,7-tris(1,2,4-triazol-4-yl)-1-azaadamantane)-triaqua-di-copper(ii) disulfate heptahydrate]",blue,10.1039/c2dt30362k,"G.A.Senchyk, A.B.Lysenko, I.Boldog, E.B.Rusanov, A.N.Chernega, H.Krautscheid, K.V.Domasevitch",Dalton Transactions,8675,41,2012-09-26,blue
KESBUG,"catena-(tris(μ2-5-(4-Pyridyl)-4,6-dipyrrinato-N,N',N'')-(tetrafluoroborato-F)-cobalt(iii)-silver(i) acetonitrile benzene solvate)",green,10.1021/ja0645483,"S.R.Halper, Loi Do, J.R.Stork, S.M.Cohen",Journal of the American Chemical Society,15255,128,2007-03-22,green
KESGAS,"catena-((μ3-4-[(carboxylatomethyl)sulfamoyl]benzoato)-(μ2-4,4'-bipyridine)-aqua-di-manganese(ii) monohydrate)",,10.1080/15533174.2012.654878,"Yong-Wei Wang, Lu-Fang Ma","Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",1009,42,2013-03-18,
KETSEI,"catena-(bis(μ4-Pentane-1,5-dionato)-(μ2-pentane-1,5-dionato)-diaqua-di-dysprosium tetrahydrate)",colorless,,"Dan-Yi Wei, Shi-Jie Huang, Jie Sun, Yue-Qing Zheng",Zeitschrift fur Kristallographie - New Crystal Structures,273,221,2007-03-22,colorless
KEVWUF,"catena-(bis(bis(μ3-Pyridine-2,6-dicarboxylato)-octa-aqua-di-lanthanum) (μ12-phosphato)-(μ2-hydroxo)-tricosakis(μ2-oxo)-dodecaoxo-deca-molybdenum-di-vanadium hexahydrate)",orange,10.1002/ejic.201201275,"Xiaoyu Liu, Li Wang, Xuena Yin, Rudan Huang",European Journal of Inorganic Chemistry,2181,,2013-05-21,orange
KEYYET,catena-(octakis(μ3-Selenido)-hexakis(μ2-cyano)-hexakis(dimethylformamide)-di-manganese(ii)-hexa-rhenium),,10.1016/j.ica.2006.09.031,"Sehye Kim, Youngmee Kim, Yunseon Kal, Sung-Jin Kim",Inorganica Chimica Acta,1870,360,2007-06-28,
KIBDIJ,"catena-(bis(μ4-Fumarato-O,O',O'',O''')-(μ2-oxalato-O,O',O'',O''')-tetra-aqua-di-terbium(iii) tetrahydrate)",colorless,10.1021/ic061833e,"Wen-Hua Zhu, Zhe-Ming Wang, Song Gao",Inorganic Chemistry,1337,46,2007-06-28,colorless
KIDXUR,"catena-(tetrakis(Dimethylammonium) bis(μ5-sulfoisophthalato)-bis(μ4-sulfoisophthalato)-tetrakis(μ3-1,2,4-triazole)-diaqua-di-sodium-penta-zinc trihydrate)",colorless,10.1021/cg060741x,"Hyunsoo Park, G.Krigsfeld, J.B.Parise",Crystal Growth and Design,736,7,2007-06-28,colorless
KIFJUF,"catena-((μ4-Benzene-1,4-dicarboxylato-O,O,O',O'',O'',O''')-bis(μ4-benzene-1,4-dicarboxylato-O,O',O'',O''')-tetrakis(N,N-dimethylacetamide-O)-tri-magnesium)",colorless,10.1039/b705028c,"R.P.Davies, R.J.Less, P.Lickiss, A.J.P.White",Dalton Transactions,2528,,2007-10-25,colorless
KIFXOO,"catena-[tetrakis(μ2-4,4'-Bipyridine)-bis(μ2-4-(4-carboxyphenoxy)benzoato)-bis(μ2-4,4'-oxydibenzoato)-tetra-aqua-bis(2-hydroxybenzoato)-tetra-nickel(ii) octahydrate]",,10.1039/C2CE26165K,"Feilong Hu, Huahong Zou, Xuebo Zhao, Yan Mi, Caili Luo, Yunxiao Wang",CrystEngComm,1068,15,2013-05-22,
KIKDAL,"catena-(bis(isothiocyanato)-bis(μ2-3,3',5,5'-tetramethyl-1H,1'H-4,4'-bipyrazole)-cadmium(ii) dichloromethane solvate)",colorless,10.1039/C3CE41238E,"V.V.Ponomarova, V.V.Komarchuk, I.Boldog, H.Krautscheid, K.V.Domasevitch",CrystEngComm,8280,15,2013-09-09,colorless
KIKDEP,"catena-(bis(isothiocyanato)-(μ2-hexafluorosilicato)-tetrakis(μ2-3,3',5,5'-Tetramethyl-1H,1'H-4,4'-bipyrazole)-di-cadmium(ii) chloroform solvate)",colorless,10.1039/C3CE41238E,"V.V.Ponomarova, V.V.Komarchuk, I.Boldog, H.Krautscheid, K.V.Domasevitch",CrystEngComm,8280,15,2013-09-09,colorless
KIKDOZ,"catena-((μ2-hexafluorosilicato)-bis(μ2-3,3',5,5'-tetramethyl-1H,1'H-4,4'-bipyrazole)-cadmium(ii) hexahydrate)",colorless,10.1039/C3CE41238E,"V.V.Ponomarova, V.V.Komarchuk, I.Boldog, H.Krautscheid, K.V.Domasevitch",CrystEngComm,8280,15,2013-09-09,colorless
KINDIW,"catena-((μ4-1,4-Benzenedicarboxylato)-bis(μ2-1,4-benzenedicarboxylato)-bis(1,10-phenanthroline)-di-erbium trihydrate)",,10.1021/cg400531j,"Haiyan He, Huiqing Ma, Di Sun, Liangliang Zhang, Rongming Wang, Daofeng Sun",Crystal Growth and Design,3154,13,2013-09-11,
KIVFAY,"catena-[bis(μ5-furan-2,5-dicarboxylato)-bis(μ4-furan-2,5-dicarboxylato)-(μ3-furan-2,5-dicarboxylato)-pentaaqua-tri-cerium-potassium unknown solvate]",colorless,10.1002/ejic.201301324,"Hao Wang, Rong-Mei Wen, Tong-Liang Hu",European Journal of Inorganic Chemistry,1185,,2014-01-24,colorless
KIYMAI,"catena-((μ5-Naphthalene-1,4-dicarboxylato)-dimethylformamide-strontium)",colorless,10.1039/C3CE42208A,"D.S.Raja, Jheng-Hong Luo, Chun-Ting Yeh, Yue-Chun Jiang, Kuei-Fang Hsu, Chia-Her Lin",CrystEngComm,1985,16,2014-01-24,colorless
KIYMIQ,"catena-((μ8-Naphthalene-1,4-dicarboxylato)-dimethylformamide-di-sodium)",,10.1039/C3CE42208A,"D.S.Raja, Jheng-Hong Luo, Chun-Ting Yeh, Yue-Chun Jiang, Kuei-Fang Hsu, Chia-Her Lin",CrystEngComm,1985,16,2014-01-24,
KIYQIU,"catena-[(μ4-pyridine-2,5-dicarboxylato-N,O,O,O'',O''')-(μ4-pyridine-2,5-dicarboxylato-N,O,O',O'',O''')-(N,N-dimethylformamide)-di-zinc hydrate]",colorless,10.1021/cg401106z,V.V.Chernyshev,Crystal Growth and Design,5305,13,2014-01-24,colorless
KIYQOA,"catena-[(μ4-pyridine-2,5-dicarboxylato)-(μ3-pyridine-2,5-dicarboxylato)-diaqua-di-zinc N,N-dimethylformamide solvate]",colorless,10.1021/cg401106z,V.V.Chernyshev,Crystal Growth and Design,5305,13,2014-01-24,colorless
KOBPUN,catena-((μ6-tris(2-carboxyethyl)isocyanurate)-aqua-gadolinium(iii) tetrahydrate),colorless,10.1002/anie.200705986,"S.K.Ghosh, S.Bureekaew, S.Kitagawa","Angewandte Chemie, International Edition",3403,47,2008-09-12,colorless
KOFPEB01,"catena-(hexakis(μ3-2,2'-iminodiacetato)-tri-copper-di-lanthanum(iii) hydrate)",,10.1002/anie.200705846,"HengBo Cui, Biao Zhou, La-Sheng Long, Y.Okano, H.Kobayashi, A.Kobayashi","Angewandte Chemie, International Edition",3376,47,2008-09-12,
KOFPEB02,"catena-(hexakis(μ3-2,2'-iminodiacetato)-tri-copper-di-lanthanum(iii) hydrate)",,10.1002/anie.200705846,"HengBo Cui, Biao Zhou, La-Sheng Long, Y.Okano, H.Kobayashi, A.Kobayashi","Angewandte Chemie, International Edition",3376,47,2008-09-12,
AVAQIX01,"catena-[bis(μ2-Isonicotinato)-aqua-cadmium(ii) N,N-dimethylformamide solvate]",colorless,10.1016/j.molstruc.2016.04.093,H.M.Titi,Journal of Molecular Structure,205,1119,2016-05-04,colorless
AVAQIX,"catena-(bis(μ2-Isonicotinato-N,O,O')-aqua-cadmium dimethylformamide solvate)",colorless,10.1016/j.inoche.2003.12.012,"Ju-Hsiou Liao, Chiung-Yu Lai, Chien-De Ho, Ching-Ting Su",Inorganic Chemistry Communications,402,7,2004-07-21,colorless
AVELOD,"catena-(bis(μ2-alaninato)-bis(μ2-1,2-bis(4-pyridyl)ethene)-di-copper(ii) hydrate)",green,10.1021/cg200242n,"Jingjing Guo, Xinhua Li, C.N.Moorefield, G.R.Newkome",Crystal Growth and Design,2695,11,2011-09-15,green
AVELUJ,"catena-(bis(μ2-alaninato)-bis(μ2-1,2-bis(4-pyridyl)ethene)-di-nickel(ii) hydrate)",green,10.1021/cg200242n,"Jingjing Guo, Xinhua Li, C.N.Moorefield, G.R.Newkome",Crystal Growth and Design,2695,11,2011-09-15,green
AVESUR,"catena-((μ-1,1':3',1''-terphenyl-3,3'',5,5',5''-pentacarboxylato)-bis(dimethylformamide)-di-cadmium unknown solvate)",,10.1039/C6CE01514J,"Ling Li, Chang-Xia Li, Yan-Li Ren, Ming Song, Yue Ma, Ru-Dan Huang",CrystEngComm,7787,18,2016-09-21,
AVILEY,"catena-[tris(μ-5,10,15,20-tetrakis(4-carboxylatophenyl)porphyrinato)-hexadecakis(μ-oxo)-trichloro-icosa-aqua-tetrahydroxy-dodeca-hafnium(iv)-tri-iridium(iii) unknown solvate]",red,10.1039/C6SC03288E,"Yingxia Wang, Hao Cui, Zhang-Wen Wei, Hai-Ping Wang, Li Zhang, Cheng-Yong Su",Chemical Science,775,8,2016-09-21,red
AVIMUO,"catena-((μ8-5,5'-[biphenyl-4,4'-diylbis(methanediyloxy)]dibenzene-1,3-dicarboxylato)-diaqua-di-manganese(ii) dihydrate)",,10.1021/cg200229h,"Ling-Ling Qu, You-Long Zhu, Yi-Zhi Li, Hong-Bin Du, Xiao-Zeng You",Crystal Growth and Design,2444,11,2011-09-15,
AVITUU,"catena-((μ4-2,3,4,5-tetrakis(4-pyridyl)thiophene)-copper(i) tetrafluoroborate acetonitrile chloroform solvate)",orange,10.1039/b315243j,"O.V.Dolomanov, D.B.Cordes, N.R.Champness, A.J.Blake, L.R.Hanton, G.B.Jameson, M.Schroder, C.Wilson",Chemical Communications,642,,2004-07-20,orange
AVIVOQ,"catena-((μ4-2,3,4,5-tetra(4-pyridyl)thiophene)-silver(i) trifluoromethanesulfonate acetonitrile dichloromethane solvate)",colorless,10.1039/b315243j,"O.V.Dolomanov, D.B.Cordes, N.R.Champness, A.J.Blake, L.R.Hanton, G.B.Jameson, M.Schroder, C.Wilson",Chemical Communications,642,,2004-07-21,colorless
AVIVUW,"catena-((μ4-2,3,4,5-tetra(4-pyridyl)thiophene)-silver(i) hexafluorophosphate acetonitrile dichloromethane solvate)",colorless,10.1039/b315243j,"O.V.Dolomanov, D.B.Cordes, N.R.Champness, A.J.Blake, L.R.Hanton, G.B.Jameson, M.Schroder, C.Wilson",Chemical Communications,642,,2004-07-21,colorless
